id,parent_id,name,short_name,officetype_name,is_last,url,declarations_url,region_name
449,,Президент Российской Федерации,,Президент Российской Федерации,1,http://declarator.org/office/449/,http://kremlin.ru/structure/president/income-reports,
456,,Администрация Президента РФ,,Администрация Президента РФ,1,http://declarator.org/office/456/,http://kremlin.ru/structure/administration/income-reports,
453,,Правительство РФ,,Правительство РФ,1,http://declarator.org/office/453/,http://government.ru/gov/info/,
589,,Министерства РФ,,Министерства РФ,0,http://declarator.org/office/589/,,
4,589,Министерство внутренних дел,,Министерства РФ,0,http://declarator.org/office/4/,http://mvd.ru/anticorr/dohod,
4327,4, Управления МВД на транспорте,,Министерства РФ,0,http://declarator.org/office/4327/,,
4336,4327,Восточно-Сибирское линейное управление внутренних дел МВД России на транспорте,Восточно-Сибирское ЛУВД МВД России на транспорте,Министерства РФ,1,http://declarator.org/office/4336/,https://vsut.mvd.ru/folder/2186685,
4337,4327,Забайкальское линейное управление внутренних дел МВД России на транспорте,Забайкальское ЛУВД МВД России на транспорте,Министерства РФ,1,http://declarator.org/office/4337/,https://zbut.mvd.ru/informaciya/Protivodejstvie_korrupcii,
4335,4327,Управление на транспорте МВД России по Дальневосточному федеральному округу,УТМВД России по Дальневосточному федеральному округу,Министерства РФ,1,http://declarator.org/office/4335/,https://dfout.mvd.ru/utmvddfo/anti_corruption/dohod,
4332,4327,Управление на транспорте МВД России по Приволжскому федеральному округу,УТМВД России по Приволжскому федеральному округу,Министерства РФ,1,http://declarator.org/office/4332/,https://pfout.mvd.ru/folder/2468150,
4329,4327,Управление на транспорте МВД России по Северо-Западному федеральному округу,УТМВД России по Северо-Западному федеральному округу,Министерства РФ,1,http://declarator.org/office/4329/,https://szfout.mvd.ru/UT_MVD/Protivodejstvie_korrupcii/Svedenija_o_dohodah_rashodah_ob_imushhes,
4331,4327,Управление на транспорте МВД России по Северо-Кавказскому федеральному округу,УТМВД России по Северо-Кавказскому федеральному округу,Министерства РФ,1,http://declarator.org/office/4331/,https://skfout.mvd.ru/struktura/protivodejstvie_korrupcii,
4334,4327,Управление на транспорте МВД России по Сибирскому федеральному округу,УТМВД России по Сибирскому федеральному округу,Министерства РФ,1,http://declarator.org/office/4334/,https://sibfout.mvd.ru/UT_SFO/net_corrupcii/Cvedenija_o_dohodah_rashodah_ob_imushhes,
4333,4327,Управление на транспорте МВД России по Уральскому федеральному округу,УТМВД России по Уральскому федеральному округу,Министерства РФ,1,http://declarator.org/office/4333/,https://uralfout.mvd.ru/struktura/net_korrupcii/Svedenija_o_dohodah_ob_imushhestve_i_obj,
4328,4327,Управление на транспорте МВД России по Центральному федеральному округу,УТМВД России по Центральному федеральному округу,Министерства РФ,1,http://declarator.org/office/4328/,https://cfout.mvd.ru/struktura/Protivodejstvie_korrupcii/svedenija_o_dohodah,
