id,family_name,name,patronymic
12810,Абазов,Артур,Сультанович
1590,Абазов,Фанис,Фамутдинович
2865,Абакумов,Владимир,Евгеньевич
10065,Абакумова,Анна,Олеговна
503,Абалаков,Алекандр,Николаевич
8568,Абалихина,Светлана,Владимировна
11460,Абалымов,Алексей,Владимирович
2059,Абарюс,Аугениюс,Риманто
12580,Абасов,Багадур,Хадисович
1131,Абасов,Мамед,Магарамович
19918,Абасов,Салих,Раджебалиевич
15015,Абашев,Рашид,Басырович
14942,Абашев,Рашит,Наильевич
8026,Абашина,Инна,Сергеевна
1780,Абашкин,Валерий,Иванович
19741,Абаюшкина,Елена,Ивановна
15328,Абдрахманов,Марат,Шамилевич
5379,Абдрахманов,Ринат,Закиуллович
1779,Абдул-Кадыров ,Шарпудди ,Муайдович
4701,Абдулаев,Магомед,Имранович
20044,Абдулазизов,Тагир,Гасанович
555,Абдулатипов,Рамазан ,Гаджимурадович
7213,Абдулвагапов,Ракиф,Габдулмаликович
10070,Абдулина,Альфия,Сибгатовна
19920,Абдулкадыров,Омар,Гусейнович
15234,Абдуллаев,Али,Дардаилович
12581,Абдуллаев,Газимагомед,Бабугаджиевич
4704,Абдуллазянов,Эдвард,Юнусович
15953,Абдуллин,Ринат,Азгарович
14666,Абдуллин,Талгат,Мидхатович
1731,Абдуллина,Наталья,Васильевна
17444,Абдуллина,Татьяна,Юрьевна
14667,Абдулхаков,Рустам,Рифгатович
958,Абдулхалыков,Марат,Абдрахманович
14668,Абдульзянов,Артур,Рашидович
10657,Абдульманов,Алексей,Нургалиевич
1549,Абдульманов,Раиль,Абдулхаевич
15235,Абдурахманов,Бекхан,Дуквахаевич
468,Абдурахманов,Дукуваха,Баштаевич
9753,Абдурахманов-Павлов,Владимир,Леонидович
11524,Абдурзаков,Б.А.,
36,Абельцев,Сергей ,Николаевич
10414,Абенякова,Елизавета,Федоровна
14405,Абзалов,Альберт,Феликсович
11637,Абисалов,Сослан,Русланович
19611,Абитова,Гаухар,Касымовна
12276,Аблаев,Рустам,Борганитдинович
3079,Аблаева,Светлана,Васильевна
15471,Аблов,Ян,Александрович
12277,Аблязов,Ирфан,Шакиржанович
19198,Аболихин,Александр,Викторович
16421,Абрагимов,Константин,Александрович
8089,Абрам,Анна,Павловна
1356,Абраменков,Владимир,Александрович
1243,Абрамов,Александр,Сергеевич
11997,Абрамов,Алексей,Владимирович
21114,Абрамов,В.,Н.
1760,Абрамов,Валерий,Анатольевич
114,Абрамов,Виктор,Семенович
8632,Абрамов,Владимир,Васильевич
343,Абрамов ,Иван ,Николаевич
1295,Абрамов,Михаил,Борисович
16868,Абрамов,Олег,Васильевич
15676,Абрамов,Сергей,Васильевич
12125,Абрамов,Сергей,Николаевич
1962,Абрамова,Алиса,Алексеевна
10844,Абрамова,Анна,Петровна
4979,Абрамова,Валентина,Николаевна
21070,Абрамова,Галина,Анатольевна
6565,Абрамова,Евгения,Викторовна
12906,Абрамова,Елена,Анатольевна
11694,Абрамова,Елена,Викторовна
3374,Абрамова,Ирина,Валерьевна
3409,Абрамова,Л.,И.
2309,Абрамова,О.,П.
16278,Абрамова,Татьяна,Васильевна
3913,Абрамян,Эдуард,Рубенович
10941,Абрашева,М.Г.,
19304,Абрашова,Ирина,Анатольевна
20335,Абросимов,А.,А.
4376,Абросимова,В.,В.
16609,Абросимова,Ирина,Викторовна
590,Аброськин,Николай,Павлович
12278,Аброщенко,Вячеслав,Васильевич
4759,Абсалямов,Артур,Винерович
15236,Абубакаров,Мансур,Лукич
440,Абубакиров,Ришат,Фазлутдинович
10705,Абузяров,Ю.А.,
17445,Абузярова,Елена,Владиславовна
20120,Абулгафаров,Виктор,Шевкетович
12123,Абушеев,Виктор,Мункожапович
1274,Абызов,Михаил,Анатольевич
3720,Авагимян,Юрий,Георгиевич
12491,Авакян,Сергей,Грачевич
12161,Авалиани,Михаил,Мемедович
3771,Аванесян,Зоя,Валерьевна
17801,Аванесян,Ольга,Александровна
15534,Авдеев,Александр,Александрович
662,Авдеев,Александр,Алексеевич
11111,Авдеев,Виталий,Николаевич
11489,Авдеев,Владимир,Владимирович
9344,Авдеев,Григорий,Евгеньевич
17545,Авдеев,Игорь,Валерьевич
494,Авдеев,Михаил,Юрьевич
4705,Авдеев,Федор,Степанович
7010,Авдеев,Юрий,Васильевич
3484,Авдеев,Юрий,Сергеевич
17063,Авдеева,Валентина,Ивановна
18474,Авдеева,Валентина,Михайловна
9339,Авдеева,Галина,Анатольевна
8426,Авдеева,Екатерина,Михайловна
16104,Авдеева,Елена,Осиповна
10071,Авдеева,Ирина,Святославовна
21243,Авдеева,Татьяна,Сергеевна
2084,Авдеева,Эльвира ,Леонидовна
20230,Авдеенко,Татьяна,Анатольевна
20986,Авдеенкотатьяна,Анатольевна,
11987,Авдонин,Алексей,Владимирович
18805,Авдонин,Геннадий,Всильевич
10614,Авдонина,Ольга,Викторовна
8786,Авдохин,Валерий,Петрович
18602,Авдюшкина,Наталья,Анатольевна
8954,Аведов,Валерий,Георгиевич
12582,Авезов,Мурзадин,Алибекович
881,Аверин,Антон,Валерьевич
5359,Аверин,Игорь,Владимирович
18606,Аверина,Василиса,Анатольевна
7253,Аверина,Виктория,Викторовна
3719,Аверина,Н.,Г.
5695,Аверченкова,Татьяна,Николаевна
13835,Аверьянов,Геннадий,Михайлович
1287,Аверьянов,Юрий,Тимофеевич
9821,Аверьянова,Ирина,Анатольевна
10015,Аверьянова,Марина,Евгеньевна
8998,Аверьянова,Марина,Николаевна
7435,Аверьянова,Татьяна,Викторовна
15978,Авилов,Евгений,Васильевич
6421,Авилова,Елена,Валерьевна
18203,Авинова,Елена,Евгеньевна
2085,Авласевич,Наталья,Михайловна
12907,Авраменко,Виктор,Фёдорович
2496,Авраменко,Денис ,Анатольевич
6497,Авраменко,Иван,Сергеевич
17958,Аврелькин,Владимир,Александрович
9635,Аврутин,Вячеслав,Эдуардович
16784,Авсеевич,Сергей,Сергеевич
6621,Австрийская,Ольга,Рафаиловна
11468,Авсянский,Виктор,Николаевич
13559,Автаев,Петр,Иванович
3880,Автоненко,Мария,Васильевна
11802,Авцынова,Виктория,Александровна
12583,Авшалумова,Людмила,Хизгиловна
9575,Агабекова,Наталия,Станиславовна
8788,Агаджанов,Кирилл,Игоревич
16755,Агаджанян,Карен,Мелсикович
591,Агаев  ,Бекхан,Вахаевич
600,Агаев ,Ваха,Абуевич
9822,Агаева,Тунзаля,Исмаил
4706,Агаков,Всеволод,Георгиевич
1296,Агальцов,Валерий,Станиславович
7011,Агамов,Эдуард,Фаридович
9576,Аганова,Галина,Рэмовна
21240,Агапеева,Марина,Александровна
14174,Агапкин,Михаил,Иванович
5459,Агапкина,Наталья,Ивановна
12221,Агапов,Александр,Витальевич
12396,Агапов,Дмитрий,Геннадьевич
21137,Агапов,Роман,Валерьевич
1363,Агапов,Роман,Вячеславович
6075,Агапова,Татьяна,Валентиновна
15865,Агапцев,Георгий,Юрьевич
4621,Агапцов,Сергей,Анатольевич
12120,Агарков,Александр,Григорьевич
11473,Агарков,Сергей,Иванович
7617,Агаркова,Светлана,Яковлевна
6074,Агасиева,Ольга,Леонидовна
18917,Агафонова,Евгения,Владиславовна
8495,Агафонова,Марина,Анатольевна
10007,Агафонова,Марина,Юрьевна
12908,Агафонова,Наталья,Степановна
9345,Агафонова,О.,С.
6076,Агафонова,Ольга,Анатольевна
305,Агеев,Александр,Александрович
12909,Агеев,Алексей,Степанович
17802,Агеев,Антон,Валерьевич
15781,Агеев,Виктор,Геннадьевич
18439,Агеева,Валентина,Анатольевна
1759,Агеева,Марина,Евгеньевна
19008,Агеева,Светлана,Максимовна
13721,Агеенко,Вадим,Алексеевич
11764,Агешин,Юрий,Андреевич
16927,Агибалов,Юрий,Владимирович
13934,Агишев,Рустям,Аипович
592,Агузаров,Тамерлан,Кимович
18261,Агуленко,Василий,Васильевич
2560,Адабашьян,Олег,Гургенович
8493,Адайкин,Александр,Андреевич
8504,Адайкина,Екатерина,Олеговна
4451,Адаменко,Александр,Николаевич
17701,Адаменко,Светлана,Викторовна
7012,Адамия,Давид,Арчилович
8250,Адамов,Леонид,Эдуардович
7209,Адамова,Валерия,Борисовна
5233,Адамович,В.,Б.
10072,Адамский,Михаил,Яковлевич
7762,Адарич,Наталья,Владимировна
5574,Адашкин,Эдуард,Леонидович
18264,Адмаева,Ирина,Сергеевна
4176,Аднагузина,Татьяна,Сергеевна
15684,Адонина,Светлана,Юрьевна
